input_length,compute_time
44,0.2540566921234131
78,0.4230945110321045
93,0.4961111545562744
113,0.6011343002319336
135,0.7261624336242676
166,0.8982007503509521
178,0.9592146873474121
189,1.0172274112701416
202,1.0992462635040283
216,1.1672608852386475
15,0.12602829933166504
35,0.22004914283752441
45,0.2600579261779785
61,0.3360753059387207
95,0.5141150951385498
114,0.6101365089416504
138,0.7361645698547363
153,0.8151824474334717
180,0.9632153511047363
192,1.0272302627563477
29,0.18504118919372559
58,0.32607316970825195
84,0.4470999240875244
114,0.6211390495300293
139,0.743166446685791
155,0.8281853199005127
183,0.9842197895050049
197,1.058237075805664
212,1.137253999710083
223,1.221273422241211
15,0.12602782249450684
38,0.23005175590515137
68,0.3650815486907959
96,0.5061135292053223
113,0.6011345386505127
126,0.6731500625610352
137,0.7281637191772461
149,0.7921760082244873
166,0.8901994228363037
188,1.0082261562347412
23,0.16403627395629883
39,0.24105381965637207
63,0.3540794849395752
82,0.4491002559661865
94,0.5071136951446533
104,0.5511229038238525
116,0.6111369132995605
130,0.6971557140350342
143,0.7741734981536865
166,0.8931996822357178
29,0.18404126167297363
55,0.3180711269378662
82,0.4470999240875244
109,0.581129789352417
133,0.7031576633453369
154,0.8211832046508789
164,0.864194393157959
178,0.95121169090271
202,1.0922443866729736
212,1.1452562808990479
31,0.2000443935394287
59,0.3360750675201416
111,0.5991339683532715
133,0.7081584930419922
155,0.8341867923736572
179,0.9662158489227295
204,1.095245122909546
214,1.1662607192993164
226,1.2342760562896729
238,1.3142943382263184
32,0.19204282760620117
49,0.2810630798339844
59,0.3360753059387207
97,0.5201163291931152
116,0.6101362705230713
136,0.7201619148254395
151,0.8141813278198242
169,0.8992011547088623
178,0.9522128105163574
193,1.0332310199737549
16,0.11602568626403809
50,0.2850637435913086
75,0.41309261322021484
132,0.6901543140411377
170,0.9112038612365723
190,1.0262293815612793
205,1.108247995376587
231,1.273284673690796
241,1.324296474456787
250,1.3873100280761719
23,0.16503667831420898
43,0.2650597095489502
52,0.2870635986328125
80,0.4270951747894287
96,0.5081140995025635
122,0.6551461219787598
138,0.7411658763885498
157,0.8411884307861328
167,0.909203052520752
179,0.9762187004089355
