input_length,compute_time
16,0.07601690292358398
39,0.1380307674407959
64,0.18304157257080078
83,0.24405431747436523
103,0.29506587982177734
115,0.3250732421875
130,0.3610811233520508
140,0.37708401679992676
149,0.4050908088684082
165,0.44610071182250977
24,0.08601927757263184
45,0.14103221893310547
63,0.19304251670837402
83,0.24305462837219238
99,0.28206348419189453
109,0.29906654357910156
118,0.327073335647583
134,0.36808252334594727
178,0.4851088523864746
190,0.5201163291931152
25,0.09402132034301758
41,0.13002943992614746
50,0.15703439712524414
69,0.19704508781433105
82,0.23505258560180664
94,0.2650589942932129
109,0.2980668544769287
129,0.3510782718658447
141,0.38408637046813965
159,0.4410991668701172
30,0.11202502250671387
47,0.15503478050231934
63,0.1960442066192627
83,0.24205398559570312
108,0.2920653820037842
119,0.33507609367370605
133,0.3610808849334717
168,0.4500999450683594
206,0.5691277980804443
224,0.6101367473602295
29,0.10502338409423828
49,0.15103363990783691
82,0.23505330085754395
94,0.26405858993530273
130,0.359081506729126
181,0.49511027336120605
194,0.5321199893951416
214,0.5921318531036377
230,0.6391432285308838
245,0.6771516799926758
21,0.08601999282836914
35,0.12802815437316895
57,0.17003846168518066
94,0.2670598030090332
127,0.35707950592041016
143,0.4000895023345947
158,0.4360978603363037
185,0.5041131973266602
200,0.5391206741333008
215,0.6001346111297607
20,0.0780181884765625
38,0.13002848625183105
53,0.16203665733337402
79,0.23205184936523438
96,0.2610585689544678
121,0.33307504653930664
138,0.3780841827392578
171,0.4701056480407715
180,0.4811074733734131
211,0.5831308364868164
23,0.10002303123474121
62,0.18504071235656738
86,0.24405455589294434
114,0.31507086753845215
155,0.42809581756591797
164,0.4380981922149658
183,0.5041131973266602
200,0.5371203422546387
212,0.5801301002502441
227,0.6371424198150635
34,0.12102794647216797
46,0.14803242683410645
57,0.17003822326660156
68,0.19204330444335938
76,0.21004724502563477
86,0.24605464935302734
97,0.2670598030090332
111,0.3160712718963623
132,0.35307860374450684
155,0.43309712409973145
23,0.10002255439758301
52,0.15203452110290527
87,0.25505638122558594
108,0.29306626319885254
123,0.3470783233642578
136,0.3630800247192383
160,0.42909693717956543
191,0.530118465423584
209,0.5721287727355957
235,0.6601471900939941
