input_length,compute_time
19,0.3140714168548584
35,0.45110011100769043
46,0.54012131690979
63,0.7131602764129639
76,0.8151822090148926
90,0.9742181301116943
102,1.093245029449463
113,1.2042694091796875
131,1.410315990447998
153,1.6373672485351562
14,0.24305438995361328
32,0.3990895748138428
77,0.8381884098052979
102,1.098245620727539
122,1.3122937679290771
148,1.5683519840240479
165,1.7713966369628906
186,2.012450695037842
202,2.1784892082214355
214,2.3195199966430664
17,0.26105809211730957
42,0.5001122951507568
72,0.7771742343902588
98,1.0562360286712646
114,1.2272748947143555
126,1.3503026962280273
144,1.524341344833374
165,1.7623963356018066
174,1.8774197101593018
185,1.9944472312927246
19,0.29906702041625977
30,0.39308810234069824
56,0.6231398582458496
81,0.8761966228485107
103,1.115250587463379
111,1.1922674179077148
126,1.3392996788024902
143,1.5373444557189941
171,1.8474137783050537
185,1.9954469203948975
26,0.3520793914794922
48,0.5451219081878662
71,0.7931773662567139
98,1.0592379570007324
128,1.348301887512207
145,1.551347255706787
156,1.659372329711914
171,1.8504140377044678
185,1.9764440059661865
198,2.1334781646728516
17,0.26205873489379883
35,0.44409894943237305
52,0.5841310024261475
65,0.7191617488861084
78,0.858191728591919
111,1.2052712440490723
136,1.4423222541809082
150,1.610360860824585
161,1.7293875217437744
170,1.8324103355407715
35,0.4501008987426758
59,0.6821527481079102
73,0.798180103302002
87,0.9562137126922607
116,1.2242753505706787
136,1.4293186664581299
153,1.6203646659851074
164,1.7413897514343262
182,1.9644405841827393
196,2.1134724617004395
26,0.35308003425598145
39,0.48210859298706055
63,0.7121593952178955
81,0.8791959285736084
95,1.0352327823638916
124,1.3182945251464844
145,1.5533487796783447
181,1.95143723487854
206,2.2294998168945312
217,2.3465263843536377
36,0.4300966262817383
51,0.6001343727111816
75,0.8421883583068848
107,1.1632611751556396
125,1.335299015045166
144,1.5273427963256836
156,1.6603713035583496
169,1.8164072036743164
187,2.038456916809082
199,2.1794886589050293
18,0.27606201171875
32,0.390087366104126
49,0.5591249465942383
64,0.6961565017700195
76,0.8121817111968994
93,0.9942233562469482
102,1.097245216369629
114,1.231276035308838
143,1.547347068786621
171,1.8634169101715088
